Vehicle [frontAxleOnA=98186, rearAxleOnA=98333, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=5508987, rearAxleOnA=5509166, frontAxleOnB=5508991, rearAxleOnB=5509170, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=5810441, rearAxleOnA=5810600, frontAxleOnB=5810444, rearAxleOnB=5810603, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=6383154, rearAxleOnA=6383348, frontAxleOnB=6383158, rearAxleOnB=6383352, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=7051179, rearAxleOnA=7051310, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=7522142, rearAxleOnA=7522265, frontAxleOnB=7522145, rearAxleOnB=7522267, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=8368330, rearAxleOnA=8368477, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=8906253, rearAxleOnA=8906397, frontAxleOnB=8906256, rearAxleOnB=8906400, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=8915860, rearAxleOnA=8915992, frontAxleOnB=8915862, rearAxleOnB=8915995, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=9008256, rearAxleOnA=9008393, frontAxleOnB=9008259, rearAxleOnB=9008396, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=9317203, rearAxleOnA=9317312, frontAxleOnB=9317205, rearAxleOnB=9317315, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=10098672, rearAxleOnA=10098806, frontAxleOnB=10098675, rearAxleOnB=10098809, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=10165307, rearAxleOnA=10165440, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=10978086, rearAxleOnA=10978208, frontAxleOnB=10978088, rearAxleOnB=10978210, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=11008201, rearAxleOnA=11008322, frontAxleOnB=11008204, rearAxleOnB=11008325, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=11430876, rearAxleOnA=11431042, frontAxleOnB=11430879, rearAxleOnB=11431045, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=11884609, rearAxleOnA=11884746, frontAxleOnB=11884612, rearAxleOnB=11884749, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=12160314, rearAxleOnA=12160467, frontAxleOnB=12160317, rearAxleOnB=12160470, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=13270252, rearAxleOnA=13270372, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=13286925, rearAxleOnA=13287062, frontAxleOnB=13286928, rearAxleOnB=13287065, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=13662163, rearAxleOnA=13662278, frontAxleOnB=13662165, rearAxleOnB=13662281, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=13955619, rearAxleOnA=13955778, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=14481824, rearAxleOnA=14481951, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=14547248, rearAxleOnA=14547377, frontAxleOnB=14547250, rearAxleOnB=14547380, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=14665953, rearAxleOnA=14666091, frontAxleOnB=14665956, rearAxleOnB=14666094, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=14681925, rearAxleOnA=14682091, frontAxleOnB=14681928, rearAxleOnB=14682094, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=15409909, rearAxleOnA=15410090, frontAxleOnB=15409913, rearAxleOnB=15410093, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=16719537, rearAxleOnA=16719669, frontAxleOnB=16719540, rearAxleOnB=16719672, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=17548556, rearAxleOnA=17548659, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=18318217, rearAxleOnA=18318403, frontAxleOnB=18318221, rearAxleOnB=18318407, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=18402640, rearAxleOnA=18402809, frontAxleOnB=18402643, rearAxleOnB=18402812, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=18415929, rearAxleOnA=18416116, frontAxleOnB=18415933, rearAxleOnB=18416119, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=18631180, rearAxleOnA=18631360, frontAxleOnB=18631184, rearAxleOnB=18631364, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=18802784, rearAxleOnA=18802904, frontAxleOnB=18802786, rearAxleOnB=18802906, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=18934320, rearAxleOnA=18934446, frontAxleOnB=18934322, rearAxleOnB=18934449, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19031221, rearAxleOnA=19031367, frontAxleOnB=19031224, rearAxleOnB=19031370, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19126915, rearAxleOnA=19127080, frontAxleOnB=19126918, rearAxleOnB=19127083, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19201010, rearAxleOnA=19201149, frontAxleOnB=19201013, rearAxleOnB=19201152, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19204380, rearAxleOnA=19204520, frontAxleOnB=19204383, rearAxleOnB=19204523, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19223463, rearAxleOnA=19223631, frontAxleOnB=19223466, rearAxleOnB=19223635, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19387343, rearAxleOnA=19387562, frontAxleOnB=19387347, rearAxleOnB=19387566, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19401476, rearAxleOnA=19401608, frontAxleOnB=19401479, rearAxleOnB=19401611, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19415088, rearAxleOnA=19415235, frontAxleOnB=19415091, rearAxleOnB=19415238, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19418652, rearAxleOnA=19418781, frontAxleOnB=19418655, rearAxleOnB=19418784, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19427320, rearAxleOnA=19427454, frontAxleOnB=19427322, rearAxleOnB=19427456, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19497561, rearAxleOnA=19497713, frontAxleOnB=19497564, rearAxleOnB=19497716, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19539615, rearAxleOnA=19539807, frontAxleOnB=19539619, rearAxleOnB=19539811, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19645161, rearAxleOnA=19645313, frontAxleOnB=19645165, rearAxleOnB=19645317, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19711648, rearAxleOnA=19711760, frontAxleOnB=19711650, rearAxleOnB=19711762, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=19873204, rearAxleOnA=19873323, frontAxleOnB=19873206, rearAxleOnB=19873326, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=20023222, rearAxleOnA=20023392, frontAxleOnB=20023226, rearAxleOnB=20023396, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=20105799, rearAxleOnA=20105966, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=20357943, rearAxleOnA=20358102, frontAxleOnB=20357946, rearAxleOnB=20358105, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=20674545, rearAxleOnA=20674679, frontAxleOnB=20674548, rearAxleOnB=20674682, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=20900503, rearAxleOnA=20900624, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=20952586, rearAxleOnA=20952728, frontAxleOnB=20952589, rearAxleOnB=20952731, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21116788, rearAxleOnA=21116935, frontAxleOnB=21116791, rearAxleOnB=21116937, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21125921, rearAxleOnA=21126051, frontAxleOnB=21125923, rearAxleOnB=21126053, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21434046, rearAxleOnA=21434195, frontAxleOnB=21434049, rearAxleOnB=21434198, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21440540, rearAxleOnA=21440689, frontAxleOnB=21440543, rearAxleOnB=21440692, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21455807, rearAxleOnA=21455977, frontAxleOnB=21455810, rearAxleOnB=21455980, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21459438, rearAxleOnA=21459583, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21508589, rearAxleOnA=21508732, frontAxleOnB=21508593, rearAxleOnB=21508735, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21549808, rearAxleOnA=21549941, frontAxleOnB=21549810, rearAxleOnB=21549943, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21677940, rearAxleOnA=21678095, frontAxleOnB=21677944, rearAxleOnB=21678098, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21790194, rearAxleOnA=21790351, frontAxleOnB=21790197, rearAxleOnB=21790354, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21790623, rearAxleOnA=21790793, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21797562, rearAxleOnA=21797694, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21814509, rearAxleOnA=21814629, frontAxleOnB=21814511, rearAxleOnB=21814631, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21822394, rearAxleOnA=21822554, frontAxleOnB=21822397, rearAxleOnB=21822557, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21836931, rearAxleOnA=21837087, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=21923666, rearAxleOnA=21923835, frontAxleOnB=21923669, rearAxleOnB=21923838, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22035604, rearAxleOnA=22035744, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22125510, rearAxleOnA=22125656, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22136844, rearAxleOnA=22136978, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22180397, rearAxleOnA=22180551, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22193630, rearAxleOnA=22193793, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22225023, rearAxleOnA=22225162, frontAxleOnB=22225026, rearAxleOnB=22225165, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22239962, rearAxleOnA=22240094, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22256632, rearAxleOnA=22256751, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22280484, rearAxleOnA=22280600, frontAxleOnB=22280486, rearAxleOnB=22280602, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22355959, rearAxleOnA=22356067, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22389542, rearAxleOnA=22389664, frontAxleOnB=22389544, rearAxleOnB=22389667, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22469697, rearAxleOnA=22469865, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22484825, rearAxleOnA=22484963, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22557216, rearAxleOnA=22557362, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22563161, rearAxleOnA=22563285, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22580486, rearAxleOnA=22580615, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22580926, rearAxleOnA=22581148, frontAxleOnB=22580930, rearAxleOnB=22581153, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22585541, rearAxleOnA=22585717, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22658412, rearAxleOnA=22658548, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22690059, rearAxleOnA=22690246, frontAxleOnB=22690062, rearAxleOnB=22690249, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22725207, rearAxleOnA=22725348, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22773754, rearAxleOnA=22773903, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22838417, rearAxleOnA=22838568, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22899388, rearAxleOnA=22899585, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22923399, rearAxleOnA=22923524, frontAxleOnB=22923402, rearAxleOnB=22923527, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22957415, rearAxleOnA=22957553, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=22971518, rearAxleOnA=22971665, frontAxleOnB=22971521, rearAxleOnB=22971667, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23030564, rearAxleOnA=23030685, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23035129, rearAxleOnA=23035290, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23037144, rearAxleOnA=23037265, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23074404, rearAxleOnA=23074555, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23099375, rearAxleOnA=23099537, frontAxleOnB=23099378, rearAxleOnB=23099540, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23126983, rearAxleOnA=23127118, frontAxleOnB=23126986, rearAxleOnB=23127120, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23131799, rearAxleOnA=23131931, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23201291, rearAxleOnA=23201449, frontAxleOnB=23201294, rearAxleOnB=23201452, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23276487, rearAxleOnA=23276629, frontAxleOnB=23276490, rearAxleOnB=23276632, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23292254, rearAxleOnA=23292402, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23295895, rearAxleOnA=23296039, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23354156, rearAxleOnA=23354290, frontAxleOnB=23354158, rearAxleOnB=23354292, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23376630, rearAxleOnA=23376753, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23448284, rearAxleOnA=23448422, frontAxleOnB=23448287, rearAxleOnB=23448425, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23493154, rearAxleOnA=23493317, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23535733, rearAxleOnA=23535895, frontAxleOnB=23535736, rearAxleOnB=23535898, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23539618, rearAxleOnA=23539738, frontAxleOnB=23539621, rearAxleOnB=23539740, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23557251, rearAxleOnA=23557387, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23588029, rearAxleOnA=23588201, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23639875, rearAxleOnA=23640033, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23708006, rearAxleOnA=23708130, frontAxleOnB=23708008, rearAxleOnB=23708133, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23772829, rearAxleOnA=23772999, frontAxleOnB=23772832, rearAxleOnB=23773002, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23818614, rearAxleOnA=23818757, frontAxleOnB=23818617, rearAxleOnB=23818760, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23870747, rearAxleOnA=23870881, frontAxleOnB=23870750, rearAxleOnB=23870884, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23887542, rearAxleOnA=23887737, frontAxleOnB=23887545, rearAxleOnB=23887741, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23904249, rearAxleOnA=23904387, frontAxleOnB=23904252, rearAxleOnB=23904390, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23911898, rearAxleOnA=23912046, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23964409, rearAxleOnA=23964521, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=23974967, rearAxleOnA=23975122, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24005395, rearAxleOnA=24005515, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24147509, rearAxleOnA=24147635, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24154134, rearAxleOnA=24154256, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24239054, rearAxleOnA=24239224, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24256422, rearAxleOnA=24256582, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24263665, rearAxleOnA=24263826, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24301332, rearAxleOnA=24301443, frontAxleOnB=24301334, rearAxleOnB=24301445, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24397837, rearAxleOnA=24397983, frontAxleOnB=24397840, rearAxleOnB=24397986, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24400482, rearAxleOnA=24400643, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24473392, rearAxleOnA=24473548, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24571882, rearAxleOnA=24572043, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24596503, rearAxleOnA=24596636, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24743636, rearAxleOnA=24743757, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24808123, rearAxleOnA=24808291, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=24993029, rearAxleOnA=24993150, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25070705, rearAxleOnA=25070826, frontAxleOnB=25070708, rearAxleOnB=25070828, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25078192, rearAxleOnA=25078323, frontAxleOnB=25078194, rearAxleOnB=25078325, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25092493, rearAxleOnA=25092654, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25162277, rearAxleOnA=25162438, frontAxleOnB=25162280, rearAxleOnB=25162441, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25204763, rearAxleOnA=25204920, frontAxleOnB=25204766, rearAxleOnB=25204923, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25212264, rearAxleOnA=25212419, frontAxleOnB=25212267, rearAxleOnB=25212422, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25225734, rearAxleOnA=25225898, frontAxleOnB=25225737, rearAxleOnB=25225901, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25231278, rearAxleOnA=25231419, frontAxleOnB=25231281, rearAxleOnB=25231422, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25232916, rearAxleOnA=25233072, frontAxleOnB=25232919, rearAxleOnB=25233075, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25236339, rearAxleOnA=25236473, frontAxleOnB=25236342, rearAxleOnB=25236476, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25243615, rearAxleOnA=25243754, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25243954, rearAxleOnA=25244080, frontAxleOnB=25243957, rearAxleOnB=25244083, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25250516, rearAxleOnA=25250647, frontAxleOnB=25250518, rearAxleOnB=25250649, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25251725, rearAxleOnA=25251876, frontAxleOnB=25251728, rearAxleOnB=25251879, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25255236, rearAxleOnA=25255374, frontAxleOnB=25255239, rearAxleOnB=25255376, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25277861, rearAxleOnA=25278026, frontAxleOnB=25277864, rearAxleOnB=25278030, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25302724, rearAxleOnA=25302853, frontAxleOnB=25302727, rearAxleOnB=25302856, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25312435, rearAxleOnA=25312566, frontAxleOnB=25312437, rearAxleOnB=25312569, direction=SOUTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=25340334, rearAxleOnA=25340482, frontAxleOnB=25340337, rearAxleOnB=25340485, direction=SOUTH_BOUND, day=ONE]
